region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15
17Networks_LH_VisCent_ExStr_1,18865.0250480506,18617.7335731526,18984.1352736109,19935.0735403281,21214.6281897658,22638.6338653644,24325.6778673667,25173.1410898919,24400.3275716282,23425.8307552456,22964.0278538109,22637.7216035184,22314.9467164776,22047.6801797389,21486.3912844854
17Networks_LH_VisCent_ExStr_2,19514.6490821202,19443.5632446294,19435.7984443698,20304.8866675788,21972.5305861213,23837.4237421841,25748.5159904714,26693.1905459805,25731.0699129487,24570.7775991852,23848.5142089005,23535.1939672268,23139.6143157233,22769.2233041323,21932.5946379541
17Networks_LH_VisCent_ExStr_3,19149.5292795624,19112.5808887342,19345.3240668801,20251.5997840475,21839.7786397596,23744.2716418196,25625.0197776878,26557.2296406437,25667.6223216279,24619.3212299027,24057.6816038149,23777.5667688444,23434.4170233842,23347.3564100375,22311.6515618245
17Networks_LH_VisCent_ExStr_4,18847.4351068322,18865.7497571214,18614.6446508001,19059.8504519126,20347.2173076606,22234.3297314922,24115.9401131103,25093.0823532992,24392.9828055627,23244.7590647958,22387.4671758926,21844.6507837749,21553.0258854225,21324.7328161592,20770.8763495402
17Networks_LH_VisCent_ExStr_5,18734.212004177,18938.3633412862,19127.5756455195,19901.2611178496,21376.0550379583,23317.6482342308,25386.9389738901,26441.1064016576,25807.385012637,24573.958827352,23670.3618671635,22872.9631724284,22282.7579902743,22002.1844387939,21175.6351552932
17Networks_LH_VisCent_ExStr_6,19049.5630762264,19300.9266592642,18934.5772010075,19166.9067988648,20141.0252011314,21655.7452903423,23214.1917485645,24236.9286383482,23488.8518588238,22376.9845646264,21685.474114665,21248.2264913945,21124.2789491421,20964.4984778501,20378.9527788568
17Networks_LH_VisCent_ExStr_7,19162.9916309923,19125.8739904442,18916.3005129019,19567.2467134187,20956.2704585093,22782.4140015761,24501.8379264353,25463.1646397517,24698.6304337521,23339.2795420342,22322.4021912278,21624.9341820681,21269.7442749439,21106.553847546,20273.5809680632
17Networks_LH_VisCent_ExStr_8,18747.0505572753,19017.4266756199,19084.6704735562,19690.6163127089,20807.8399574082,22360.0582057765,23871.4820999918,24485.6292381697,23863.5132814524,22669.8954995154,21823.6366218751,21324.5747451817,21054.495106252,20858.34798435,20172.9287430914
17Networks_LH_VisCent_ExStr_9,19913.0064163581,20202.3102586301,20510.0990767647,21322.9885141785,22464.4736313976,23928.6354274318,25358.3271651905,26117.396512632,25510.9962991919,24347.049262126,23198.6248114108,22353.6229763026,21829.7598588238,21367.1313024929,20421.5375744736
17Networks_LH_VisCent_ExStr_10,20200.2325570731,20454.6192719548,20560.484595638,21365.0097981866,22116.7932014908,23291.1994274261,24576.9307027106,25010.2359615098,24288.8190507441,23014.5232486728,21674.5425483783,20880.1040189231,20660.0191670957,20274.6408824579,18914.9905850121
17Networks_LH_VisCent_ExStr_11,18486.6839329958,18731.8576301036,19008.866034776,19635.4426287657,20173.8442345186,20892.8939025827,21964.0138558949,22648.5362243379,22080.0007462985,20992.7190195727,20029.8744504156,19615.5215829745,19776.1441499472,19578.6806045131,18399.205206603
17Networks_LH_VisCent_ExStr_12,19333.6989237596,19190.9291146612,18826.7057180566,19265.4297801913,20552.0421237514,22342.1896186754,24010.1527050068,24925.7019250577,24256.5482588116,22923.7939549866,22174.0003789021,21820.6350553447,21572.7806308048,21423.7976924353,20697.709015372
17Networks_LH_VisCent_ExStr_13,19865.5759169696,20467.1724216079,21480.3283852289,22725.4883139952,23133.7434284924,23414.8034221882,24471.4993755773,25047.8203366441,24500.9531770752,23422.0549896774,22301.3284376328,21640.5285559941,21523.3503983415,21293.6568121485,19831.10729159
17Networks_LH_VisCent_ExStr_14,18648.0037358007,19029.1412134162,19127.8332545653,19669.0961657209,20628.5433426052,22111.0224382564,23682.5758691899,24352.0722530725,23841.2448626571,22698.0318351145,21617.4864154031,20907.4151329798,20671.9141041923,20430.5914468465,19513.3466810467
17Networks_LH_VisCent_ExStr_15,19085.8070048863,18972.863847096,18757.0794073308,19062.863044633,20127.9955245137,21671.633603595,23198.160210599,24025.894199525,23228.4937071377,22156.09815611,21653.8182800842,21333.5343735061,21097.697893961,20767.1136495406,19975.9196982714
17Networks_LH_VisCent_ExStr_16,19431.1622650012,19607.5397941193,20339.2415724162,21400.2693564244,21542.6933367958,21779.6216906854,22937.1951375756,23794.0969963826,23255.122634449,22185.3382269194,20890.8679533539,20163.2221282376,20324.2773743315,20114.7545712277,18410.0981844562
17Networks_LH_VisCent_ExStr_17,17435.0257368193,17305.3662331065,17304.191141464,18135.1032250177,19528.7587877785,21359.6870946926,22878.4594849662,23522.8046717681,23065.4242916584,21833.9284441228,20867.774093598,20306.6390264031,20131.7659900168,20031.8303954141,19449.9036533381
17Networks_LH_VisCent_ExStr_18,18791.8316903412,18543.6748188507,18625.0761050142,18904.8524682309,18559.353572871,18475.1276352464,19286.0235919007,19791.7303878609,19251.4876017859,18236.0826186066,17276.2030425521,16720.8922042429,17032.7146071856,17292.090473418,15963.2385331516
17Networks_LH_VisCent_ExStr_19,18565.048508869,18631.886827865,18839.4274821577,19494.612038602,19899.6731801988,20415.975787791,21268.925062354,22081.7213031393,21642.8203208823,20604.0143300988,19274.6698745647,18505.1042838143,18468.2445138048,18417.5000446621,17277.7172945724
17Networks_LH_VisCent_ExStr_20,18012.8269935,18097.5658974264,18125.0207072934,18973.2287720395,20389.4556817495,22296.4646316611,23921.2506791626,24587.8867975014,24004.823925828,22809.8344947727,21626.1415507074,20655.938125763,20216.6864107625,19986.5794799802,19198.1481359728
17Networks_LH_VisCent_ExStr_21,18778.4571118153,18656.3990058816,18382.3649382895,18748.5134588828,19690.933716327,20928.631977568,21945.1851947636,22235.4261460941,21697.6672085584,20602.1223219225,19558.9255084918,18857.3000888444,18684.5523408447,18763.0020605478,17855.6010142353
17Networks_LH_VisCent_ExStr_22,18544.4604220573,18472.293506559,18369.021555261,19141.7810143423,20656.2357869311,22499.8815566648,23963.0451604642,24747.5647169685,23968.0396942011,22695.5399734616,21864.7808992493,21394.6759341902,21104.3433299755,21039.069142029,20200.5386755772
17Networks_LH_VisCent_ExStr_23,18148.3889670297,18093.0349037384,17826.362702091,18424.6257577291,19907.2087805306,21778.7193314085,23327.1713514876,24100.5064455319,23589.7483588884,22273.1302997276,21160.3733378643,20525.0153110918,20241.8087190503,20242.7046937394,19550.0772983968
17Networks_LH_VisCent_ExStr_24,17562.2498213385,17730.5761171818,17779.0888047572,18569.12495941,20134.4571207815,22181.1535331222,24063.681373214,24871.2424417009,24399.1011319811,23359.5692416937,22189.2360293167,21221.257479393,20658.3929262449,20491.3545494947,19653.5896207339
17Networks_LH_VisCent_ExStr_25,17986.2781610074,17687.800216677,17312.4455791102,17958.6023781675,19433.6262756173,21547.108057962,23486.2443307177,24424.9445423329,23826.0074202039,22521.6575133323,21412.1013134117,20883.015129824,20753.6351891257,20463.0880024827,19174.1018270113
17Networks_LH_VisCent_ExStr_26,16741.3519153954,16388.3815272857,16164.1308462905,16768.3105303756,18073.7569459025,20118.3487412379,21539.7892364076,22330.1870169733,21761.2269652986,20678.5141337426,19975.2797846632,19555.6061040098,19532.7923258872,19462.320330357,18567.3748275547
17Networks_LH_VisPeri_ExStrSup_1,17795.2666245546,17688.3825015771,17338.8909791535,17692.5202936195,18734.3588231281,20406.2740109747,21889.3194807423,22872.2630009965,22308.1770327877,21463.4094912478,21026.1969880382,20813.1768219481,20647.3997021291,20693.1762832456,20058.2188660929
17Networks_LH_VisPeri_ExStrSup_2,19014.8154684546,19459.9434748239,19732.954358493,20659.0617806967,22053.4151963211,23772.258080335,25479.9055680141,26467.994709213,25676.4040165972,24273.2643620497,23035.7774504231,22175.8295598169,21747.9172025267,21487.6009372634,20613.2952485965
17Networks_LH_VisPeri_ExStrSup_3,19452.5261059288,19763.2378276329,19902.1516306653,20818.1239632291,22501.2416633681,24791.1959267937,26951.4528787111,27931.2323855135,26992.1233035315,25577.1639225419,24424.8806513716,23620.4362288836,23202.4481900067,22900.5426548577,21996.3740117646
17Networks_LH_VisPeri_ExStrSup_4,18714.2964197002,19066.1224823606,18692.3572022125,19259.51989599,20641.3674017288,22307.7196493543,24287.9384948216,25069.2589280248,24332.3933919651,23088.0930853371,22406.0527287295,22381.8032909262,22625.6606545268,22933.62021233,21843.9595139706
17Networks_LH_VisPeri_ExStrSup_5,15834.7004164921,16437.1352787274,16979.5105258428,17599.7553190987,17947.2170955603,18745.4846993668,19096.0591351439,19367.29453197,19379.3957310966,19334.6640910219,19202.1998478306,19024.150363154,18963.6322098141,18678.3515142954,18157.9263030163
17Networks_LH_VisPeri_ExStrSup_6,18724.1395212671,19347.439911118,20139.8059305217,21522.7979437109,23002.9672415495,24532.9353076405,25954.0975686578,26534.0116169941,25713.060148117,24396.0198232009,23153.9438516274,22362.0866920586,21998.3403873703,21729.4922110645,20718.7878526725
17Networks_LH_VisPeri_ExStrSup_7,19330.0133573311,19986.6461246537,20575.7149546405,21764.6152574604,23451.8475183178,25429.8390460512,27416.3735743718,28157.1423457515,27144.1419816464,25700.0865189031,24526.2877901848,23443.7069513181,22758.3222833161,22076.7072305302,21152.0342028194
17Networks_LH_VisPeri_ExStrSup_8,17776.8933193702,17646.2375847605,17541.4341634745,18156.9566301309,19307.5368149434,20795.6639274981,22294.013178062,23030.5034330071,22385.0350673263,21545.0639434394,21051.8149645166,20676.286256534,20410.8914699499,20328.1962783007,19547.4123370331
17Networks_LH_VisPeri_ExStrSup_9,16569.2522139572,16985.8569410803,17219.3249140663,17557.156766029,18010.9362754807,18272.0307496644,18917.8592206512,19304.7366914241,19094.6301896801,18905.796961432,18737.45272694,18702.5441622785,18498.806185868,18143.3810550577,17658.850049426
17Networks_LH_VisPeri_ExStrSup_10,19462.0501382385,20106.1023534379,20763.0043905552,21997.5767178165,22923.8082152802,24136.9433365164,25607.6518826447,26395.4976180033,25668.4545669953,24280.8649884951,22771.7302018203,21698.5446929824,21321.4168279742,21113.7362746305,20166.1926900871
17Networks_LH_VisPeri_ExStrSup_11,20690.3745757564,20986.0656882635,21336.6758251887,22514.1543620851,23368.7147553244,24708.7583195622,26352.6694378856,27633.7234811047,26882.9561289602,25241.3509913681,23595.1517605825,22507.4967024756,22037.1869043761,21726.4684509182,20775.075290358
17Networks_LH_VisPeri_ExStrSup_12,18235.1988184668,18829.0454178175,20057.6436290912,21074.134767866,20789.6885656812,20951.8449007553,22128.6527018057,23095.2641257815,22569.2432325806,21350.8703328885,20090.0262339831,19378.1394685894,19515.9420427846,19494.9020806548,18237.9928280923
17Networks_LH_VisPeri_ExStrSup_13,17432.0048334937,17205.0208057296,16968.4141104064,17480.8160856682,18448.6745472685,19676.4601900683,20909.0207891604,21550.8502391172,20996.8252783859,20227.9319788268,19633.4718355409,19120.3462182748,18891.0289021212,18694.9994454288,17840.63337799
17Networks_LH_VisPeri_ExStrSup_14,19069.2525287295,19648.2972073695,20814.7631047059,21975.8918770881,22348.7905076105,22762.0922935482,24060.8572995208,24700.2448093947,24090.4891021017,22939.7820056807,21749.103027043,20911.1638036495,20662.1198455309,20402.0241298466,19319.2702082867
17Networks_LH_VisPeri_ExStrSup_15,19262.155930066,19565.0964525178,20308.445605865,21373.7423528945,21065.7317696693,21343.9786627703,22550.9719971646,23588.4190382523,22880.9326788228,21433.499312375,20047.0864968785,19287.6065621635,19356.5262049758,19465.1442188071,18501.6171479716
17Networks_LH_VisPeri_ExStrSup_16,19906.0105673754,19859.3231669165,20245.1472262365,21090.1692059615,21336.4810501596,21809.8340151446,23142.142081299,24155.1050974239,23402.3089957412,21969.5245904965,20642.8855479466,19832.0829592065,19658.6119296989,19713.7397824637,18970.1828809909
17Networks_LH_VisPeri_ExStrSup_17,18956.0452572396,19599.5087887753,20476.8599775188,21621.720678408,21824.3646388481,22511.3488718241,23817.8153827366,24817.750348376,24120.6140191294,22687.0027123023,21232.4354738272,20425.6032761622,20537.7855169758,20515.9172158537,19273.8115252905
17Networks_LH_VisPeri_ExStrSup_18,19323.3655716219,18018.6149466921,17657.1332876405,18246.295907387,19380.6892762492,20511.7489734968,21529.5592448899,22276.1936083586,21712.0853964692,20622.5015241485,19954.4881961991,19230.6983330691,18849.1195645567,19172.2326019819,18901.6698563906
17Networks_LH_VisPeri_ExStrSup_19,18910.0120171778,19255.2779830393,19275.9125675639,19912.0389587,21168.4586186975,22692.3099907639,24207.6767517459,24878.2107432742,24325.6018349688,23218.734361104,21944.2345021589,20847.546053621,20263.620242785,19994.3591373483,19240.4695146655
17Networks_LH_VisPeri_ExStrSup_20,18374.9330220478,18972.909915141,19618.8947574841,20754.7401681134,22313.5131062102,24149.983165441,25823.1512928866,26408.0585845973,25770.9249835832,24556.3655265847,23416.1116860773,22500.8781099619,21824.5153674132,21074.6925781907,20226.8284001315
17Networks_LH_VisPeri_ExStrSup_21,19094.8493811377,18670.0931298018,18269.2943141944,18717.2549487912,19787.1566375249,21110.7263948763,22135.1506636613,22583.3877263583,22125.6380235908,21053.1150752553,20117.1930245417,19378.9125384327,18849.7609989349,18666.2316088808,18329.5339609743
17Networks_LH_VisPeri_ExStrSup_22,18900.4294678332,19376.791110787,19425.3424385954,20250.5928929345,21823.2918914073,23651.1848500431,24971.8789569877,25606.660189138,24995.6006383347,23733.5121446294,22557.0280651159,21642.6759390242,21172.1324491505,20889.9495188194,20395.2945759864
17Networks_LH_VisPeri_ExStrSup_23,19358.6875492166,19655.7521130439,19927.3295723007,20678.3625997673,22011.2049805277,23656.5908687789,25241.9247949371,25677.4205005723,25166.1549529774,24205.5806723679,23188.9653696046,22229.1484699029,21622.879242222,21142.6581624726,20219.7152346569
17Networks_LH_VisPeri_ExStrSup_24,18845.9285150297,19084.8560669931,19106.8542753288,19924.346542408,21547.8839454103,23367.8964605367,24856.1338912367,25284.0152660843,24756.1492308197,23669.0479871848,22371.0316741169,21461.4758922754,20885.2177741338,20887.4883255578,20017.797554047
17Networks_LH_VisPeri_ExStrSup_25,17580.227995345,17502.2034954837,17407.1833253854,18105.1130523484,19274.2141275906,20463.0090960414,21330.2111171654,21754.3402114184,21392.8832712929,20708.5899567044,19830.6560960718,19173.2529377651,18508.2342089398,18159.5143283597,17690.2311432112
17Networks_LH_VisPeri_ExStrSup_26,18057.7609237584,18619.227080748,18905.9811028627,19636.1789064852,21040.6134117735,22571.9977240566,23717.6284250685,24205.2796427155,23800.1757778752,22953.2811062973,21935.7569008178,21178.0296072832,20538.9413899022,20222.1080291079,19561.90366116
17Networks_LH_VisPeri_ExStrSup_27,18866.0153535768,19094.9603972725,19396.5728900957,20385.2657221176,21907.008269864,23354.3622867352,24341.4795885624,24698.9834277458,24105.8106672417,23226.2687715754,22361.8415057069,21808.1558626581,21314.562647349,21402.3007332476,20439.9820214234
17Networks_LH_VisPeri_ExStrSup_28,17485.9856831843,17582.4697739796,17311.9233166847,17880.4465649797,19218.3875208024,20943.7049618697,22399.0972991239,22993.2187237399,22546.8426074595,21477.1363755043,20660.3948495393,20000.0317248682,19695.7467205542,19628.7651617324,18964.1790638795
17Networks_LH_VisPeri_ExStrSup_29,17652.7346250865,18350.1581800299,18717.5220312377,19857.8056876953,21499.1441912611,23256.5980064732,24339.8117135116,24803.1301168659,24273.7308596073,23527.3485446973,22614.081706541,21803.8344126288,21185.2961007242,20906.9019465896,20262.2230333554
17Networks_LH_VisPeri_ExStrSup_30,17637.4845818517,18262.5983372615,18491.1006677862,19483.8881659271,20935.1610235773,22492.3484058932,23461.7303042582,24033.3500579122,23650.7696365017,22855.4685085498,22042.8109707545,21496.509012587,21262.8357256805,21233.2581036101,20377.0434543351
17Networks_LH_SomMotA_1,17584.0181559229,16886.2116909499,16608.2022552254,17031.1674732062,17833.9954671036,18962.8691215788,19935.672547973,20417.5598935175,20221.0779891097,19762.9573399436,19336.789457083,19079.4878319384,18802.2848350939,18356.7086662643,17548.8154288083
17Networks_LH_SomMotA_2,17038.290877116,17113.963155871,16988.0406974662,17861.3287346116,19082.8592007206,20399.9085317332,21414.0344799133,21658.0353422198,21249.0808565939,20770.8464809537,20337.6555261895,19705.744997653,19608.7219175443,19882.9699377904,19826.0925366177
17Networks_LH_SomMotA_3,16608.0688524357,16668.9473965031,16755.0585736741,17023.3967693733,17560.4717573337,18502.7182831358,19478.358549915,20060.1596378535,19768.7216919926,19342.9807467837,18915.8998980203,18646.4213895241,18363.9632204145,17748.2282046481,16847.4622784699
17Networks_LH_SomMotA_4,17979.066745745,18060.1845370701,17814.5750272016,18383.6019305854,19519.4450069325,20810.5454674175,21875.8357797334,22184.4448704572,21847.6765030473,21322.3401035691,20809.0441317649,20165.6256262238,19767.7299116222,19972.9823861137,19568.4608048817
17Networks_LH_SomMotA_5,16312.8673915126,16651.6576651337,16873.3387652063,17338.3048058331,17980.5052475059,18648.6185064178,19365.7708514879,19558.321721668,19192.8854585817,18709.3581122917,18368.2103556518,17917.9603709334,17475.6395420135,17150.5158310027,16386.9695921136
17Networks_LH_SomMotA_6,15568.574928702,16459.1156516986,16795.8629253506,16805.8282295146,17058.6514063677,17437.0137043652,18110.7565931231,18419.5531572299,18062.8711017546,17435.9099555844,16901.676798521,16389.8947585989,15953.6947188104,15426.1530268078,14768.86502413
17Networks_LH_SomMotA_7,15849.8134203979,15874.3496668135,15963.85930214,16398.1525368018,16969.5545848248,17662.2007961621,18208.0200814368,18539.4725680554,18313.5199103911,17939.387609848,17785.8128154351,17673.5022118911,17621.5642668055,17241.7554536301,16532.7863774092
17Networks_LH_SomMotA_8,17267.0533094202,17884.6376485155,18350.5889124068,19115.7016217359,20189.4694255031,21366.0229166589,22302.7622165477,22711.8319698232,22283.224678594,21580.4398625109,20801.731062299,19900.56409406,19090.2178865829,18751.6028349027,18317.898575187
17Networks_LH_SomMotA_9,17240.569616615,17746.1706911314,17607.5489434238,17958.0121932514,18853.9447309331,20048.5164162188,20738.5832033704,21114.5690153493,20845.9437939035,20295.6359591302,20058.0273900425,19739.145168376,19320.0835553385,18716.9221197167,17915.3284057224
17Networks_LH_SomMotA_10,17108.796963032,17337.8152894501,17157.8885452701,17689.8911511158,18633.1902179209,19498.3680579513,20341.1767355738,20660.2175083991,20250.7101894532,19883.7024563514,19482.0862036968,19151.7264384402,18813.3752257533,19119.9423160937,18910.0233760095
17Networks_LH_SomMotA_11,17854.1818102783,17936.6325032507,17916.4527571995,18412.1724837762,18989.4410949298,19790.050703875,20490.5914863219,20832.0606342048,20121.6543851779,19780.6287658119,19928.6341450227,19807.6902002002,19065.4007473928,18223.7631495855,17475.7843148452
17Networks_LH_SomMotA_12,17425.8734886659,16613.8694294736,16217.3119477358,16594.1752533961,17586.373383134,18719.8975465052,19441.9023149942,19828.8234148572,19584.7869749085,19275.7089403919,18881.4821477888,18639.2075653546,18616.0777223456,18673.5568772034,18097.4232015473
17Networks_LH_SomMotA_13,16994.3695239019,16895.0312085304,16699.0587495257,17346.7701742897,18562.4660563736,19753.2939624013,20678.2771376303,21125.7082270271,20924.2799915769,20356.3776270905,19727.3732440272,19231.3670279198,18908.2926118398,18719.9910535727,18020.8834240812
17Networks_LH_SomMotA_14,17468.3839669505,17384.1877766127,17221.1534435001,17710.5418796476,18486.5199248776,19267.5684959542,20149.0723239688,20516.3870472949,20122.6939186264,19619.3737522898,19381.7265659743,19353.5088817962,19028.2374135172,18264.9831182783,17315.8531799455
17Networks_LH_SomMotA_15,16189.183143883,16329.1009438276,16480.0318821328,16947.0757543053,17732.7547429824,18463.8880413604,19078.751786709,19438.8815150808,19103.2205986048,18443.2384265584,17820.653495831,17027.8826760153,16537.9923877622,16507.8106496658,16122.0228366643
17Networks_LH_SomMotA_16,16693.2137035172,16762.9582871432,16590.2805052858,17249.9430799544,18164.6722535261,19357.707481736,20213.3274635699,20556.3479853224,20242.8411132249,19863.4256706147,19469.3720064957,18959.8202978233,18641.0856587689,18530.1990429403,18069.0179530142
17Networks_LH_SomMotA_17,17374.2732574315,16708.3822640868,16460.8663032031,16963.3858010615,17797.1365011527,18922.0876787533,20071.1668048684,20694.4696915326,20139.3760659054,19669.2407813597,19692.6473010877,19398.4502516504,18860.811081798,18303.774446598,17614.9318985035
17Networks_LH_SomMotA_18,17399.4036995669,17971.0906152904,18266.4173595595,18740.5652517696,19298.9847245463,20026.3063414378,20713.2331072606,21175.7053331969,20662.6476491525,20049.1071304775,19726.0207092196,19496.892519619,19196.6134880127,18370.1437810969,17552.0989281991
17Networks_LH_SomMotA_19,16260.5789120545,17031.7901086551,17449.842481478,18180.7486706202,19091.0449025899,20071.0201125108,20864.319779916,21231.2100806283,20942.7116918703,20367.423288872,19660.2025412521,19061.0410032016,18614.4353709719,18288.6611511484,17901.023686457
17Networks_LH_SomMotA_20,16938.8435891945,17061.8373937672,17081.9986318788,17367.2280806882,17686.7485727479,18187.0605359404,18565.2538732616,18784.8727913602,18513.3191593805,18149.2561733295,18036.2318471707,18026.5959439638,17792.4404830194,17367.1134841333,16766.8610705349
17Networks_LH_SomMotA_21,15518.0525092757,16552.7861943589,17057.7906517989,17546.7234824101,18121.9516377888,18772.9244794083,19228.9047288935,19577.345981665,19253.9742647996,18580.3939489337,17872.0271281629,17173.5564004053,16451.9978941159,15971.3155238389,15258.9023700871
17Networks_LH_SomMotA_22,17333.0664291698,17916.0334764378,18151.7985110868,18675.8654599511,19447.2131640577,20355.5939845697,21082.9319356768,21305.7106450401,20942.3862614023,20374.156942026,19694.2694877178,19348.724347545,19033.4602917169,18675.1282519137,18068.0102682334
17Networks_LH_SomMotA_23,17007.2865338894,17552.503801232,17625.4301874018,18149.4892439792,19210.8142118202,20483.5173828086,21596.5314681911,22009.5507236961,21711.3347917308,21177.137379961,20566.2201579021,19920.3743252965,19408.6469969055,19150.9905268374,18575.9123433788
17Networks_LH_SomMotA_24,17774.8736284417,17713.0268575969,17281.9875553822,17422.9265442369,18204.4376218252,19411.5661376844,20307.6007202964,20823.5597067774,20616.8982560526,20193.1233979589,19760.1845756903,19386.2507004475,19194.8930618844,19128.5042619321,18653.3118229447
17Networks_LH_SomMotA_25,17173.6248113054,17236.165162294,16977.1367079376,17347.4734221962,18368.3172562725,19565.0559822292,20380.3800275854,21062.2854756739,20891.6025988176,20278.7702105602,19684.3258122557,19373.5165226989,19347.3601461496,19230.6281857688,18644.4907151773
17Networks_LH_SomMotA_26,16854.9985384729,17349.0202334821,17288.8840191596,17684.4237246645,18491.9611372373,19756.614431797,20510.4962766523,20566.6642837384,20052.7707001801,19625.2416788219,19210.1931435381,18644.589981708,18603.8577382573,19094.1408294143,18684.5724548807
17Networks_LH_SomMotA_27,17249.0180804281,16710.3056145394,16715.1952183755,17601.4707005891,18935.8756873967,20223.6507742713,21280.0379776483,21690.535927048,21458.4554585395,20868.1738985502,20229.3791005377,19595.448052522,19433.3740794026,19465.4530779708,18639.2498785912
17Networks_LH_SomMotA_28,16162.9104315531,16691.900181491,16997.0844993476,17601.5625883715,18235.3231634321,18878.5694115168,19441.117540664,19686.372684805,19428.6556973451,19027.532963854,19097.5344552038,18928.4881228044,18551.0543328948,17931.4719386078,17146.0916150449
17Networks_LH_SomMotA_29,16905.6922288961,16666.556848875,16449.1285805296,16893.1042733822,17639.1155482764,18608.395215518,19601.9072936012,19951.6975739485,19596.1480110837,19169.9253012312,19019.5907841709,18754.2611292064,18376.513791343,17745.0499441373,16995.9108375669
17Networks_LH_SomMotA_30,18465.7474611517,18748.4161275899,18701.775483156,19107.6418214166,19906.0422797799,20879.0560837165,21729.0187500518,22063.225416096,21414.4563311293,20964.1815694052,20909.6684980853,20936.0693699144,20401.0500366358,19662.6191511066,18826.7533797601
17Networks_LH_SomMotA_31,16559.8430851787,17406.3022218408,17867.8967548543,18356.8752028595,19050.0291287587,19778.2182601906,20390.4637900039,20722.93611281,20419.2551834844,19783.8844436387,19321.9119384804,18945.4034646673,18627.7139582208,17924.6378968097,17159.478308765
17Networks_LH_SomMotA_32,15704.1125731164,16427.1674035229,16869.4737463411,17545.4073191898,18578.1456526905,19564.5841296051,20265.2037734644,20484.8585251702,20087.4106488608,19469.4600000309,18770.7794478138,18071.267377911,17614.5487987373,17307.5850059521,16839.2322546578
17Networks_LH_SomMotA_33,17339.3473159762,17885.8231963399,18113.3759298605,18779.527151934,19888.5238283779,21252.4780459758,22454.5025851227,22782.452778492,22542.0438412567,22014.8353482384,21543.0946380222,20954.0522915023,20547.2743730625,20604.6591123527,19917.3005940797
17Networks_LH_SomMotA_34,17899.0041921279,17232.5546015416,17124.0966223877,18155.0732324758,19721.6633178363,21520.7504126239,22533.7947779375,22797.3552931019,22565.267219526,21875.6337481828,21223.5679499103,20557.1443050331,20387.4745224916,20668.4274536077,19725.534518035
17Networks_LH_SomMotA_35,17685.3252882394,17388.2082074021,16828.8545004969,17215.1524877389,17966.5454523891,18941.3672586154,19844.7907140099,20131.3512938717,19952.9070048739,19553.9450448478,19518.7596945307,19310.7893600007,18950.5870091336,18723.708739148,18216.0583678098
17Networks_LH_SomMotA_36,17020.793617304,16892.3051328015,16902.2642231295,17399.1794320848,18108.4524896473,18872.2440710678,19645.986899665,19901.9883140311,19406.0682504076,18939.3532489548,18934.2049181573,18882.0783693396,18506.9441296682,17970.6028128254,17357.9892603053
17Networks_LH_SomMotA_37,17454.7150440132,17965.7253559728,17949.8322822606,18311.7203135378,19230.5728752499,20306.1523781724,21197.2307143289,21643.3739426896,21346.7595909651,20970.8282433145,20504.4933724011,20164.2882030024,20096.8785287415,19974.6715464203,19325.0650138689
17Networks_LH_SomMotA_38,18003.5846818666,19026.1200210796,19237.3675441828,19504.9879997733,20063.8377563805,20846.0975845479,21295.4306228324,21445.4220327506,21162.5623735204,20738.3616220776,20239.6581371958,19836.9686933323,19572.1763427972,19166.6086445271,18490.0933635291
17Networks_LH_SomMotA_39,17853.4929522057,18069.2534872587,17958.05757669,18429.662377627,19633.8872308522,20828.1311081341,21573.540728188,21995.591894776,21852.3981797796,21404.7423958938,20696.8431460508,20344.5493338475,20278.5439601426,20518.2825383581,19791.3358553259
17Networks_LH_SomMotA_40,18353.8117142844,18685.1530440482,18734.4858171682,18959.6387706838,19570.0666932396,20373.3877320611,20981.4125329872,21193.2870548185,20735.6453794837,20265.3054591689,20217.2342491974,20134.2513150252,19813.2012623973,19296.8387390479,18686.3594984656
17Networks_LH_SomMotA_41,18632.7740370064,18722.7168284248,18594.0020552065,18943.5941488771,19721.9325597025,20600.9359833172,21193.831900117,21307.6628270942,21006.5089540157,20540.2521665033,20101.3980535229,19819.8663730037,19828.2829190057,20001.178372102,19207.0021312823
17Networks_LH_SomMotA_42,18210.1164325528,18782.4819648508,18949.4909971581,19553.6172013241,20498.429178251,21643.4027878485,22607.2187914113,22859.839775232,22396.5117146557,21781.1600566782,21206.729321369,20581.6027890431,19785.9093290982,19094.4199301747,18559.5866496033
17Networks_LH_SomMotA_43,17708.208367511,18271.5207318037,18400.5675383704,18923.4859884083,20047.9256891316,21455.2243440067,22508.7473424622,22985.5451453011,22655.1888951092,22073.178375243,21394.7345515144,20900.558931643,20535.4476429461,20200.6779796126,19544.508341798
17Networks_LH_SomMotB_Aud_1,18446.3358762521,18244.9493397274,17754.5359846016,18146.6029038971,19109.4599492743,20325.1073381662,21187.4592646763,21776.4275451479,21413.6215510489,20810.0570733083,20378.126662181,19987.5672257355,19628.3714748315,19596.728850053,19272.1222751717
