list_AB,wordpair,episodic_trials_loop.thisRepN,episodic_trials_loop.thisTrialN,episodic_trials_loop.thisN,episodic_trials_loop.thisIndex,Trial_start,Position1,Position2,Position3,key_response.keys,key_response.corr,Fixation duration,Participant,Session,frameRate,expName,Word-pair list,date,
A,Episodic_Encoding/Episodic_Encoding_ListA/6.jpg,0,0,0,5,3.09944152832e-06,0.5,-0.5,0,None,0,2.5,,001,60.1319251,Episodic Encoding Task,A,2017_Nov_15_1118,
A,Episodic_Encoding/Episodic_Encoding_ListA/14.jpg,0,1,1,13,3.09944152832e-06,0.5,0,-0.5,None,0,2.0,,001,60.1319251,Episodic Encoding Task,A,2017_Nov_15_1118,
A,Episodic_Encoding/Episodic_Encoding_ListA/7.jpg,0,2,2,6,2.14576721191e-06,-0.5,0,0.5,None,0,2.5,,001,60.1319251,Episodic Encoding Task,A,2017_Nov_15_1118,
